municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
311000;CAETE;2020-01-01;1;2020;3º Departamento - Vespasiano;2) RMBH (sem BH);TENTADO;1
312700;FRONTEIRA;2020-01-01;1;2020;5º Departamento - Uberaba;3) Interior de MG;TENTADO;1
310945;CABECEIRA GRANDE;2020-01-01;1;2020;16º Departamento - Unaí;3) Interior de MG;CONSUMADO;1
314330;MONTES CLAROS;2020-01-02;1;2020;11º Departamento - Montes Claros;3) Interior de MG;TENTADO;1
315960;SANTA RITA DO SAPUCAI;2020-01-02;1;2020;17º Departamento - Pouso Alegre;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2020-01-04;1;2020;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
312510;EXTREMA;2020-01-04;1;2020;17º Departamento - Pouso Alegre;3) Interior de MG;TENTADO;1
312400;ERVALIA;2020-01-06;1;2020;4º Departamento - Juiz de Fora;3) Interior de MG;TENTADO;1
317020;UBERLANDIA;2020-01-06;1;2020;9º Departamento - Uberlândia;3) Interior de MG;TENTADO;1
311615;CHAPADA GAUCHA;2020-01-08;1;2020;16º Departamento - Unaí;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2020-01-10;1;2020;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
314990;PERDOES;2020-01-11;1;2020;6º Departamento - Lavras;3) Interior de MG;TENTADO;1
314290;MONTE AZUL;2020-01-11;1;2020;11º Departamento - Montes Claros;3) Interior de MG;CONSUMADO;1
315780;SANTA LUZIA;2020-01-12;1;2020;3º Departamento - Vespasiano;2) RMBH (sem BH);TENTADO;1
311740;CONCEICAO DE IPANEMA;2020-01-12;1;2020;12º Departamento - Ipatinga;3) Interior de MG;CONSUMADO;1
314860;PECANHA;2020-01-17;1;2020;8º Departamento - Governador Valadares;3) Interior de MG;TENTADO;1
316470;SAO SEBASTIAO PARAISO;2020-01-18;1;2020;18º Departamento - Poços de Caldas;3) Interior de MG;TENTADO;1
314200;MIRABELA;2020-01-22;1;2020;11º Departamento - Montes Claros;3) Interior de MG;TENTADO;1
317020;UBERLANDIA;2020-01-23;1;2020;9º Departamento - Uberlândia;3) Interior de MG;TENTADO;1
311150;CAMPOS ALTOS;2020-01-26;1;2020;5º Departamento - Uberaba;3) Interior de MG;TENTADO;1
313670;JUIZ DE FORA;2020-01-28;1;2020;4º Departamento - Juiz de Fora;3) Interior de MG;TENTADO;1
314520;NOVA SERRANA;2020-01-28;1;2020;7º Departamento - Divinópolis;3) Interior de MG;CONSUMADO;1
311750;CONCEICAO DO MATO DENTRO;2020-01-29;1;2020;14º Departamento - Curvelo;3) Interior de MG;TENTADO;1
315180;POCOS DE CALDAS;2020-01-31;1;2020;18º Departamento - Poços de Caldas;3) Interior de MG;CONSUMADO;1
311840;CONSELHEIRO PENA;2020-02-01;2;2020;8º Departamento - Governador Valadares;3) Interior de MG;TENTADO;1
312800;GUANHAES;2020-02-01;2;2020;8º Departamento - Governador Valadares;3) Interior de MG;TENTADO;1
311140;CAMPO FLORIDO;2020-02-01;2;2020;5º Departamento - Uberaba;3) Interior de MG;CONSUMADO;1
314520;NOVA SERRANA;2020-02-04;2;2020;7º Departamento - Divinópolis;3) Interior de MG;TENTADO;1
310560;BARBACENA;2020-02-04;2;2020;13º Departamento - Barbacena;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2020-02-06;2;2020;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2020-02-06;2;2020;1º Departamento - Belo Horizonte;1) Belo Horizonte;CONSUMADO;1
312370;ENGENHEIRO CALDAS;2020-02-07;2;2020;8º Departamento - Governador Valadares;3) Interior de MG;TENTADO;1
315570;RIO PIRACICABA;2020-02-08;2;2020;12º Departamento - Ipatinga;3) Interior de MG;TENTADO;1
314860;PECANHA;2020-02-08;2;2020;8º Departamento - Governador Valadares;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2020-02-09;2;2020;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
314710;PARA DE MINAS;2020-02-09;2;2020;7º Departamento - Divinópolis;3) Interior de MG;TENTADO;1
310950;CABO VERDE;2020-02-10;2;2020;18º Departamento - Poços de Caldas;3) Interior de MG;CONSUMADO;1
315980;SANTA VITORIA;2020-02-12;2;2020;9º Departamento - Uberlândia;3) Interior de MG;TENTADO;1
315120;PIRAPORA;2020-02-13;2;2020;14º Departamento - Curvelo;3) Interior de MG;CONSUMADO;1
312160;DIAMANTINA;2020-02-14;2;2020;14º Departamento - Curvelo;3) Interior de MG;TENTADO;1
313720;LAGOA DA PRATA;2020-02-14;2;2020;7º Departamento - Divinópolis;3) Interior de MG;TENTADO;1
315200;POMPEU;2020-02-15;2;2020;7º Departamento - Divinópolis;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2020-02-15;2;2020;1º Departamento - Belo Horizonte;1) Belo Horizonte;CONSUMADO;1
315080;PIRANGA;2020-02-16;2;2020;13º Departamento - Barbacena;3) Interior de MG;TENTADO;1
317020;UBERLANDIA;2020-02-16;2;2020;9º Departamento - Uberlândia;3) Interior de MG;TENTADO;1
314790;PASSOS;2020-02-16;2;2020;18º Departamento - Poços de Caldas;3) Interior de MG;CONSUMADO;1
313120;IPANEMA;2020-02-17;2;2020;12º Departamento - Ipatinga;3) Interior de MG;TENTADO;1
311860;CONTAGEM;2020-02-19;2;2020;2º Departamento - Contagem;2) RMBH (sem BH);CONSUMADO;1
312400;ERVALIA;2020-02-20;2;2020;4º Departamento - Juiz de Fora;3) Interior de MG;CONSUMADO;1
316030;SANTO ANTONIO DO JACINTO;2020-02-20;2;2020;15º Departamento - Teófilo Otoni;3) Interior de MG;CONSUMADO;1
310240;ALVORADA DE MINAS;2020-02-21;2;2020;14º Departamento - Curvelo;3) Interior de MG;TENTADO;1
312230;DIVINOPOLIS;2020-02-21;2;2020;7º Departamento - Divinópolis;3) Interior de MG;CONSUMADO;1
311860;CONTAGEM;2020-02-22;2;2020;2º Departamento - Contagem;2) RMBH (sem BH);TENTADO;2
310620;BELO HORIZONTE;2020-02-24;2;2020;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
314210;MIRADOURO;2020-02-24;2;2020;4º Departamento - Juiz de Fora;3) Interior de MG;CONSUMADO;1
312710;FRUTAL;2020-02-25;2;2020;5º Departamento - Uberaba;3) Interior de MG;TENTADO;1
311680;COLUNA;2020-02-26;2;2020;8º Departamento - Governador Valadares;3) Interior de MG;TENTADO;1
310670;BETIM;2020-02-28;2;2020;2º Departamento - Contagem;2) RMBH (sem BH);TENTADO;1
313170;ITABIRA;2020-02-28;2;2020;12º Departamento - Ipatinga;3) Interior de MG;TENTADO;1
310510;BAMBUI;2020-02-28;2;2020;7º Departamento - Divinópolis;3) Interior de MG;CONSUMADO;1
315180;POCOS DE CALDAS;2020-02-29;2;2020;18º Departamento - Poços de Caldas;3) Interior de MG;TENTADO;1
310670;BETIM;2020-03-01;3;2020;2º Departamento - Contagem;2) RMBH (sem BH);CONSUMADO;1
314950;PEQUERI;2020-03-03;3;2020;4º Departamento - Juiz de Fora;3) Interior de MG;TENTADO;1
311995;CORREGO FUNDO;2020-03-03;3;2020;7º Departamento - Divinópolis;3) Interior de MG;CONSUMADO;1
312980;IBIRITE;2020-03-04;3;2020;2º Departamento - Contagem;2) RMBH (sem BH);TENTADO;1
315670;SABARA;2020-03-05;3;2020;3º Departamento - Vespasiano;2) RMBH (sem BH);TENTADO;1
311860;CONTAGEM;2020-03-06;3;2020;2º Departamento - Contagem;2) RMBH (sem BH);TENTADO;1
