municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
311750;CONCEICAO DO MATO DENTRO;2018-04-16;4;2018;14º RISP - Curvelo;3) Interior de MG;CONSUMADO;1
316070;SANTOS DUMONT;2018-04-16;4;2018;13º RISP - Barbacena;3) Interior de MG;CONSUMADO;1
314520;NOVA SERRANA;2018-04-17;4;2018;7º RISP - Divinópolis;3) Interior de MG;TENTADO;1
315780;SANTA LUZIA;2018-04-17;4;2018;3º RISP - Vespasiano;2) RMBH (sem BH);TENTADO;1
312770;GOVERNADOR VALADARES;2018-04-18;4;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-04-19;4;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
311860;CONTAGEM;2018-04-19;4;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
311110;CAMPINA VERDE;2018-04-20;4;2018;5º RISP - Uberaba;3) Interior de MG;CONSUMADO;1
315920;SANTA RITA DE CALDAS;2018-04-20;4;2018;18º RISP - Poços de Caldas;3) Interior de MG;CONSUMADO;1
312090;CURVELO;2018-04-21;4;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
311860;CONTAGEM;2018-04-22;4;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
312090;CURVELO;2018-04-23;4;2018;14º RISP - Curvelo;3) Interior de MG;CONSUMADO;1
313130;IPATINGA;2018-04-24;4;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
315760;SANTA FE DE MINAS;2018-04-25;4;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
313510;JANAUBA;2018-04-27;4;2018;11º RISP - Montes Claros;3) Interior de MG;TENTADO;1
317020;UBERLANDIA;2018-04-29;4;2018;9º RISP - Uberlândia;3) Interior de MG;TENTADO;1
317120;VESPASIANO;2018-04-29;4;2018;3º RISP - Vespasiano;2) RMBH (sem BH);TENTADO;1
316420;SAO ROMAO;2018-04-30;4;2018;14º RISP - Curvelo;3) Interior de MG;CONSUMADO;1
313960;MANTENA;2018-05-03;5;2018;8º RISP - Governador Valadares;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2018-05-06;5;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
314710;PARA DE MINAS;2018-05-06;5;2018;7º RISP - Divinópolis;3) Interior de MG;TENTADO;1
314860;PECANHA;2018-05-06;5;2018;8º RISP - Governador Valadares;3) Interior de MG;CONSUMADO;1
316720;SETE LAGOAS;2018-05-06;5;2018;19º RISP - Sete Lagoas;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2018-05-08;5;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
314700;PARACATU;2018-05-10;5;2018;16º RISP - Unaí;3) Interior de MG;TENTADO;1
